ID	chromosome	position	L.1	L.2	m4	m5	L3	m6
Hs.433838	1	27809493	0.079	0.09	6.09625	3.09625	4.09	NA
Hs.196769	1	28655119.5	0.0025	-0.05	5.83625	2.83625	3.95	0.0025
Hs.421646	1	28775293.5	0.459	-0.012	5.57625	2.57625	3.988	0.459
Hs.76122	1	29311969	0.075	-0.195	5.87325	2.87325	3.805	0.075
Hs.183646	1	29359077.5	0.00449999999999999	-0.0045	6.06125	3.06125	3.9955	NA
Hs.19718	1	29428785.5	0.13	0.129	5.75325	2.75325	4.129	0.13
Hs.150366	1	30857043	0.017	0.159	5.72825	2.72825	4.159	0.017
Hs.379357	1	31412962.5	0.304	0.434	6.05625	3.05625	4.434	0.304
Hs.388226	1	31757343	0.267	-0.02	5.63525	2.63525	3.98	0.267
Hs.119537	1	32163595	-0.125	0.029	6.22125	3.22125	4.029	-0.125
Hs.25544	1	32222140.5	-0.276	0.05	6.08725	3.08725	4.05	-0.276
Hs.1765	1	32403407	0.12	0	5.89025	2.89025	4	0.12
Hs.353454	1	32514349.5	0.028	0.082	5.87725	2.87725	4.082	0.028
Hs.470672	1	32514969.5	0.112	-0.044	5.89225	2.89225	3.956	NA
Hs.348415	1	32819478.5	-0.003	0.213	6.24325	3.24325	4.213	NA
Hs.15463	1	33001204.5	0.174	-0.141	6.09325	3.09325	3.859	0.174
Hs.128366	1	33085328	0.222	0.362	5.97525	2.97525	4.362	NA
Hs.27160	1	34991755	0.659	0.368	5.76125	2.76125	4.368	0.659
Hs.180610	1	35312693.5	-0.377	-0.096	5.93625	2.93625	3.904	NA
Hs.112023	1	35851226	-0.027	0.153	5.79825	2.79825	4.153	NA
Hs.309452	1	36038447	-0.1935	-0.042	6.11375	3.11375	3.958	NA
Hs.189829	1	36128510	-0.007	-0.126	5.77525	2.77525	3.874	NA
Hs.526404	1	36450693.5	0.378	0.223	5.47425	2.47425	4.223	0.378
Hs.3496	1	36529384.5	0.423	-0.129	5.89425	2.89425	3.871	0.423
Hs.128848	1	36930611.5	0.194	0.192	5.45925	2.45925	4.192	NA
Hs.65857	1	37624807	-0.142	-0.114	6.17225	3.17225	3.886	-0.142
Hs.48855	1	37835872.5	-0.116	-0.158	5.94325	2.94325	3.842	NA
Hs.406066	1	37946213	0.022	-0.124	6.18125	3.18125	3.876	NA
Hs.143495	1	38997177.5	-0.229	-0.236	5.95625	2.95625	3.764	NA
Hs.133999	1	39041281	0.186	0.189	5.75325	2.75325	4.189	0.186
Hs.372463	1	39543892	0.115	0.087	6.25325	3.25325	4.087	0.115
Hs.472491	1	39652701.5	0.075	0.225	5.93225	2.93225	4.225	0.075
Hs.232058	1	39675743.5	0.229	-0.419	5.62025	2.62025	3.581	0.229
Hs.437922	1	40033560.5	-0.3905	0.0285	6.49925	3.49925	4.0285	-0.3905
Hs.25846	1	40410907.5	0.074	-0.1505	5.69275	2.69275	0.8495	0.074
Hs.1407	1	41616464	-0.089	0.073	5.72025	2.72025	1.073	-0.089
Hs.403972	1	41641860.5	0.305	0.602	6.04925	3.04925	1.602	0.305
Hs.302418	1	42778607	-0.225	-0.149	6.19825	3.19825	0.851	-0.225
Hs.78824	1	43446814	0.081	0.063	5.84725	2.84725	1.063	NA
Hs.82906	1	43480897.5	-0.237	-0.185	6.18225	3.18225	0.815	-0.237
Hs.25597	1	43500478	0.249	0.07	5.50225	2.50225	1.07	NA
Hs.36567	1	44128706	0.07	0.328	6.05225	3.05225	1.328	0.07
Hs.12249	1	44307755	-0.442	-0.201	6.24725	3.24725	0.799	-0.442
Hs.8008	1	44352517	0.382	0.172	5.90525	2.90525	1.172	0.382
Hs.368557	1	44378605	0.475	0.376	6.05125	3.05125	1.376	0.475
Hs.22157	1	44798611	0.436	0.139	5.64925	2.64925	1.139	NA
Hs.421430	1	44946341	0.276	0.085	5.70325	2.70325	1.085	NA
Hs.167405	1	45343243.5	-0.267	0.029	6.11125	3.11125	1.029	-0.267
Hs.271353	1	45469579.5	0.243	-0.066	5.74025	2.74025	0.934	0.243
Hs.8980	1	45552287	0.211	0.163	5.40125	2.40125	1.163	0.211
Hs.13024	1	45640384	0.287	0.111	5.55725	2.55725	1.111	0.287
Hs.184456	1	45825590.5	0.259	0.033	5.89325	2.89325	1.033	NA
Hs.372548	1	46264082.5	0.491	0.092	5.79325	2.79325	1.092	0.491
Hs.66718	1	46440800.5	-0.128	0.208	5.82425	2.82425	1.208	-0.128
Hs.144941	1	46466705.5	0.159	-0.028	5.91925	2.91925	0.972	NA
Hs.528334	1	46581774	0.517	0.182	5.56225	2.56225	1.182	0.517
Hs.10964	1	46829392	-0.209	-0.219	6.23825	3.23825	0.781	NA
Hs.436317	1	46986933	0.296	-0.288	5.66625	2.66625	0.712	0.296
Hs.436881	1	52618435	-0.08	-0.003	5.78325	2.78325	0.997	-0.08
Hs.11923	1	54048450	-0.455	-0.038	5.88925	2.88925	0.962	NA
Hs.40094	1	54134813.5	0.073	0.1	5.72025	2.72025	1.1	0.073
Hs.75616	1	55046100.5	0.063	0.732	6.56025	3.56025	1.732	NA
Hs.437655	1	56946781	-0.13	-0.351	6.27125	3.27125	0.649	-0.13
Hs.8108	1	58680064.5	-0.438	-0.347	5.97325	2.97325	0.653	-0.438
Hs.78465	1	58960144.5	-0.171	-0.2	5.79425	2.79425	0.8	-0.171
Hs.152096	1	60080969.5	0.28	-0.087	5.76225	2.76225	0.913	NA
Hs.173933	1	61531721.5	0.361666666666667	0.0853333333333333	5.59258333333333	2.59258333333333	1.08533333333333	NA
Hs.226776	1	61876369.5	0.101	-0.134	6.02525	3.02525	0.866	NA
Hs.436450	1	62123126.5	-0.052	-0.012	6.15025	3.15025	0.988	NA
Hs.406156	1	62698475.5	0.1535	0.3845	5.99875	2.99875	1.3845	0.1535
Hs.24661	1	64423663	-0.225	0.192	5.87825	2.87825	1.192	-0.225
Hs.120893	1	65106273.5	0.073	0.076	5.88625	2.88625	1.076	0.073
Hs.505172	1	65365596	-0.154	-0.033	6.26025	3.26025	0.967	-0.154
Hs.10862	1	65408585.5	0.06	-0.484	6.04325	3.04325	0.516	NA
Hs.389075	1	65497141	0.164	-0.239	5.58925	2.58925	0.761	0.164
Hs.23581	1	65778200.5	0.397	0.084	5.89425	2.89425	1.084	0.397
Hs.188	1	66261099.5	0.072	0.557	5.59025	2.59025	1.557	0.072
Hs.21757	1	67128482	-0.0925	0.0105	5.57325	2.57325	1.0105	NA
Hs.8107	1	67945185.5	0.033	-0.126666666666667	5.39325	2.39325	0.873333333333334	0.033
Hs.27860	1	71185198.5	0.1335	-0.1455	5.85825	2.85825	0.8545	NA
Hs.18268	1	77598991	0.092	-0.174	5.89725	2.89725	0.826	0.092
Hs.5364	1	77776396.5	-0.3195	-0.1015	6.11225	3.11225	0.8985	-0.3195
Hs.193516	1	85449779	0.263	-0.363	6.06475	3.06475	0.637	NA
Hs.8867	1	85759944	0.5	-0.005	5.75625	2.75625	0.995	0.5
Hs.90606	1	87066501.5	-0.208	0.102	6.00425	9.00425	-12.898	NA
Hs.3844	1	87514727.5	0.123	0.207	6.26325	9.26325	-12.793	NA
Hs.69171	1	88936859.5	-0.342	-0.1	6.31725	9.31725	-13.1	-0.342
Hs.62661	1	89236468.5	0.084	0.0985	5.82825	8.82825	-12.9015	0.084
Hs.14606	1	99866978.5	0.209	-0.144	6.12125	9.12125	-13.144	0.209
Hs.405214	1	100613960.5	0.16	0.122	6.13825	9.13825	-12.878	NA
Hs.109225	1	100906969.5	0.394	0.29	5.95825	8.95825	-12.71	NA
Hs.279837	1	109923504.5	0.223	-0.009	5.61325	8.61325	-13.009	NA
Hs.4113	1	110271715	0.018	0.392	5.85625	8.85625	-12.608	0.018
Hs.363572	1	111436320.5	0.05	-0.022	5.97225	8.97225	-13.022	0.05
Hs.447624	1	111452506	-0.257	-0.011	5.91125	8.91125	-13.011	-0.257
Hs.258575	1	112748575.5	0.44	0.006	5.43125	8.43125	-12.994	0.44
Hs.179735	1	112967308	-0.084	-0.206	5.96725	8.96725	-13.206	NA
Hs.260523	1	114966828	-0.072	0.53	5.81025	8.81025	-12.47	NA
Hs.24808	1	115030529	0.085	0.251	6.13925	9.13925	-12.749	NA
Hs.201774	1	117336262	0.147	0.025	5.84225	8.84225	-12.975	NA
Hs.356368	1	119640510	-0.12	-0.136	6.10925	9.10925	-13.136	-0.12
Hs.381235	1	142561586.5	-0.071	-0.197	5.94325	8.94325	-13.197	-0.071
Hs.158237	1	143023472.5	0.06	0.393	6.01825	9.01825	-12.607	0.06
Hs.522559	1	146262181.5	-0.156	-0.114	6.60425	9.60425	-13.114	-0.156
Hs.181301	1	147533735	-0.441	-0.011	6.42725	9.42725	-13.011	NA
Hs.78524	1	147807643.5	0.186	0.258	6.10725	9.10725	-12.742	0.186
Hs.22065	1	147840827.5	0.166	0.252	6.47225	9.47225	-12.748	NA
Hs.132648	1	148635269	0.649	0.107	5.84825	8.84825	-12.893	NA
Hs.1076	1	149818160	-0.094	-0.047	6.07425	9.07425	-13.047	-0.094
Hs.112405	1	150145191.5	0.775	-0.071	5.57825	8.57825	-13.071	0.775
Hs.75117	1	150451830	-0.596	-0.043	6.35225	9.35225	-13.043	-0.596
Hs.7854	1	150746841	-0.133	0.321	5.91825	8.91825	-12.679	-0.133
Hs.178468	1	150944305.5	-0.171	0.232	6.36525	9.36525	-12.768	NA
Hs.513489	1	151762510	-0.012	-0.177	6.08025	9.08025	-13.177	NA
Hs.436441	1	152910257	-0.483	0.048	6.12925	9.12925	-12.952	-0.483
Hs.89525	1	153529791.5	-0.082	-0.099	1.85225	5.85225	-13.099	NA
Hs.9629	1	153567014	0.219	0.026	1.81625	5.81625	-12.974	NA
Hs.332012	1	156877044	0.258	-0.077	1.96525	5.96525	-13.077	0.258
Hs.301412	1	157940780	0.097	0.235	2.18925	6.18925	-12.765	0.097
Hs.8015	1	157945482.5	0.328	-0.008	1.77625	5.77625	-13.008	NA
Hs.492779	1	158869413.5	-0.178	-0.108	2.12025	6.12025	-13.108	-0.178
Hs.307374	1	161439665	0.187	-0.118	1.81958333333333	5.81958333333333	-13.118	NA
Hs.26550	1	162103807.5	0.246	0.251	1.99225	5.99225	-12.749	0.246
Hs.458360	1	162607999.5	0.018	-0.151	1.68725	5.68725	-13.151	NA
Hs.446197	1	168240315	-0.1385	0.02	2.05975	6.05975	-12.98	NA
Hs.120	1	170183872.5	0.027	0.081	2.41125	6.41125	-12.919	NA
Hs.77266	1	176877224	-0.15	0.179	2.22225	6.22225	-12.821	-0.15
Hs.75256	1	189278644.5	-0.164	-0.252	2.35925	6.35925	-13.252	-0.164
Hs.268557	1	198169664.5	0.086	0.015	1.79325	5.79325	-12.985	0.086
Hs.283667	1	198695186.5	-0.042	-0.094	1.92925	5.92925	-13.094	NA
Hs.153648	1	199765743.5	0.076	-0.025	1.79525	5.79525	-13.025	0.076
Hs.442844	1	200046651.5	-0.005	0.195	2.15525	6.15525	-12.805	NA
Hs.334612	1	200566571.5	-0.504	-0.273	2.28025	6.28025	-13.273	-0.504
Hs.120026	1	201095196.5	0.083	-0.075	1.60625	5.60625	-13.075	0.083
Hs.355489	1	201108376	0.245	-0.035	1.86225	5.86225	-13.035	0.245
Hs.343329	1	201157274	-0.086	-0.081	1.94525	-0.05475	3.919	-0.086
Hs.238730	1	203147998.5	0.309	0.202	1.99125	-0.00875	4.202	0.309
Hs.128395	1	203390166	0.16	0.323	1.87625	-0.12375	4.323	0.16
Hs.83532	1	204335525.5	-0.142	-0.022	2.06725	0.06725	3.978	-0.142
Hs.355827	1	206358765	0.057	0.103	2.06225	0.06225	4.103	NA
Hs.362343	1	213989669	-0.361	-0.138	2.20825	0.20825	3.862	-0.361
Hs.131004	1	221893454.5	0.015	0.247	1.52825	-0.47175	4.247	0.015
Hs.119387	1	222357371.5	0.186	-0.269	2.09825	0.09825	3.731	0.186
Hs.78877	1	223179025.5	-0.361	-0.198	2.43325	0.43325	3.802	-0.361
Hs.325081	1	224250638	-0.138	-0.051	2.15825	0.15825	3.949	NA
Hs.286221	1	224586241	-0.0655	0.1035	2.11375	0.11375	4.1035	-0.0655
Hs.19383	1	227150810.5	0.156	-0.099	1.86725	-0.13275	3.901	0.156
Hs.151518	1	230877699.5	-0.232	-0.012	2.49125	0.49125	3.988	-0.232
Hs.47504	1	238358332	-0.244	0.044	1.83325	-0.16675	4.044	-0.244
Hs.211473	1	241170395	-0.583	-0.725	2.10725	0.10725	3.275	NA
Hs.411490	1	241331394.5	-0.261	0.08	1.86525	-0.13475	4.08	-0.261
Hs.178111	1	241456474	-0.128	-0.067	2.36625	0.36625	3.933	NA
Hs.22051	1	243795357	0.02	-0.239	1.94425	-0.05575	3.761	NA
Hs.180919	2	8774949.5	0.134666666666667	0.0933333333333333	2.12058333333333	0.120583333333333	4.09333333333333	NA
Hs.509314	2	9571423	-0.086	-0.139	2.08225	0.08225	3.861	-0.086
Hs.226390	2	10217803	-0.3185	-0.4115	2.35625	0.35625	3.5885	NA
Hs.135465	2	11546454	-0.616	-0.075	1.80125	-0.19875	3.925	NA
Hs.149266	2	17978033	0.22	-0.176	1.97825	-0.02175	3.824	NA
Hs.50649	2	24215667	0.047	-0.014	1.79425	-0.20575	3.986	NA
Hs.386092	2	24840766	0.003	-0.022	1.69825	-0.30175	3.978	0.003
Hs.236494	2	26220301	-0.582	-0.384	2.13925	0.13925	3.616	NA
Hs.310960	2	27195670	-0.466	0.066	1.91025	-0.08975	4.066	NA
Hs.75782	2	27475926.5	0.065	0.188	2.09025	0.09025	4.188	NA
Hs.352702	2	32304891.5	-0.128	-0.208	2.36325	0.36325	3.792	NA
Hs.360026	2	32624293	-0.016	0.096	1.99425	-0.00575	4.096	NA
Hs.368256	2	33170614	0.299	0.56	1.54725	-0.45275	4.56	NA
Hs.444252	2	36633042	-0.082	-0.249	2.28025	0.28025	3.751	-0.082
Hs.258563	2	36713992.5	-0.204	0.125	1.94125	-0.05875	4.125	-0.204
Hs.434387	2	37422646	-0.0563333333333333	0.146333333333333	2.51025	0.51025	4.14633333333333	-0.0563333333333333
Hs.8136	2	46480850	0.162	0.1125	1.83575	-0.16425	4.1125	0.162
Hs.284289	2	47995090	-0.335	-0.303	2.14825	0.14825	3.697	-0.335
Hs.271916	2	48640292	-0.245	-0.182	2.08225	0.08225	3.818	NA
Hs.292925	2	55450023.5	-0.078	-0.019	2.73125	0.73125	3.981	-0.078
Hs.76224	2	56033288	-0.333	-0.113	1.68225	-0.31775	3.887	-0.333
Hs.295421	2	57840480	0.475	-0.051	1.44625	-0.55375	3.949	NA
Hs.411433	2	58339077.5	-0.291	0.625	1.73325	-0.26675	4.625	-0.291
Hs.122440	2	61329783.5	0.224	-0.009	1.77825	-0.22175	3.991	NA
Hs.424678	2	62159597	-0.213	0.037	2.14725	0.14725	4.037	-0.213
Hs.75375	2	63734010.5	-0.111	-0.072	2.30125	0.30125	3.928	-0.111
Hs.274520	2	69270046	0.256	0.478	1.98125	-0.01875	4.478	0.256
Hs.422986	2	69959067.5	-0.029	0.033	2.04725	0.04725	4.033	-0.029
Hs.379930	2	70074238	0.0495	0.1535	2.05975	0.05975	4.1535	0.0495
Hs.396978	2	70426381.5	0.191	-0.226	1.53025	-0.46975	3.774	0.191
Hs.61268	2	73369878	-0.209	-0.271	1.58025	-0.41975	3.729	-0.209
Hs.407994	2	74003909	-0.063	0.081	2.33125	0.33125	4.081	-0.063
Hs.403989	2	74039855.5	-0.254	0.221	1.94425	-0.05575	4.221	-0.254
Hs.270428	2	84564014.5	0.118	-0.211	1.96125	-0.03875	3.789	0.118
Hs.12820	2	85786597.5	-0.062	-0.085	2.29525	0.29525	3.915	NA
Hs.433439	2	86344932.5	-0.448	-0.046	2.70525	0.70525	3.954	NA
Hs.391855	2	87156021.5	-0.469	-0.261	2.43425	0.43425	3.739	NA
Hs.512126	2	89849436	-0.208	-0.19	2.30025	0.30025	3.81	NA
Hs.346736	2	99264254.5	-0.542	0.198	1.86825	-0.13175	4.198	-0.542
Hs.375921	2	101094829.5	-0.135	-0.042	2.29525	0.29525	3.958	-0.135
Hs.25333	2	102085113	-0.457	-0.076	1.95625	-0.04375	3.924	-0.457
Hs.199179	2	108827111.5	-0.126	-0.063	2.50025	0.50025	3.937	-0.126
Hs.306178	2	112437791.5	-0.253	-0.095	1.73525	-0.26475	3.905	NA
Hs.433512	2	114398081.5	-0.266333333333333	-0.184	2.12891666666667	0.128916666666667	3.816	-0.266333333333333
Hs.98324	2	118390817	-0.134	-0.083	2.53825	0.53825	3.917	-0.134
Hs.114057	2	127117412.5	-0.025	-0.1	2.02425	0.02425	3.9	NA
Hs.77929	2	127748814	-0.11	0.083	2.25925	0.25925	4.083	-0.11
Hs.6066	2	131483647	0.246	-0.133	1.54925	-0.45075	3.867	0.246
Hs.42151	2	138580753.5	-0.116	0.002	2.15925	0.15925	4.002	-0.116
Hs.6838	2	151159944	-0.002	-0.168	2.06825	0.06825	3.832	NA
Hs.298735	2	153368828	0.883	0.428	2.22625	0.22625	4.428	NA
Hs.388208	2	160149828	-0.563	0.238	2.28625	0.28625	4.238	-0.563
Hs.239870	2	160954941.5	0.347	0.198	1.72125	-0.27875	4.198	0.347
Hs.252938	2	169927443	-0.402	-0.144	2.37425	0.37425	3.856	-0.402
Hs.259495	2	170597476	-0.007	-0.061	1.93125	-0.06875	3.939	NA
Hs.87372	2	172399957	-0.178	-0.195	2.67725	0.67725	3.805	NA
Hs.212296	2	173157194	-0.362	-0.135	2.27525	0.27525	3.865	-0.362
Hs.401414	2	175287309.5	0.0533333333333333	-0.0386666666666667	2.04191666666667	0.0419166666666667	3.96133333333333	0.0533333333333333
Hs.429	2	175871611	0.133	-0.035	2.02325	0.02325	3.965	0.133
Hs.123070	2	176808469.5	0.117	-0.022	1.76525	-0.23475	3.978	0.117
Hs.236646	2	176813812.5	0.246	0.317	2.10925	0.10925	4.317	0.246
Hs.98661	2	176871168	0.047	-0.011	1.65925	-0.34075	3.989	NA
Hs.470791	2	180435493	-0.351	0.105	2.27225	0.27225	4.105	NA
Hs.368598	2	187187989	-0.266	-0.004	1.10225	-0.89775	3.996	NA
Hs.436873	2	187325719.5	-0.152	-0.239	-0.18675	-2.18675	3.761	-0.152
Hs.11571	2	197713158	0.275	0.033	1.87525	-0.12475	4.033	0.275
Hs.79037	2	198182918.5	-0.321	0.064	2.42525	0.42525	4.064	NA
Hs.355983	2	201507946.5	-0.474	-0.329	2.91125	0.91125	3.671	NA
Hs.360943	2	201843947	-0.183	-0.054	2.21925	0.21925	3.946	NA
Hs.387906	2	204018244	-0.1595	0.002	2.22575	0.22575	4.002	-0.1595
Hs.420563	2	206831366	0.128	0.217	2.30125	0.30125	4.217	0.128
Hs.17631	2	208454058.5	-0.1685	0.124	2.16275	0.16275	4.124	NA
Hs.159499	2	209140899	0.109	0.12	1.79025	-0.20975	4.12	NA
Hs.54089	2	215459327	-0.295	0.01	2.48925	0.48925	4.01	NA
Hs.418138	2	216088489.5	-0.34	-0.192	2.47925	0.47925	3.808	NA
Hs.97176	2	219358162	-0.044	0.409	2.01425	0.01425	4.409	-0.044
Hs.434525	2	219511567.5	-0.042	0.137	1.82925	-0.17075	4.137	NA
Hs.153003	2	219937432	0.198	0.019	2.01025	0.01025	4.019	NA
Hs.77768	2	219973409	0.244	0.156	1.78025	-0.21975	4.156	0.244
Hs.268012	2	223592430	0.002	-0.235	2.58725	0.58725	3.765	NA
Hs.424598	2	229837840	0.045	-0.113	2.06125	0.06125	3.887	0.045
Hs.421649	2	231806894	0.3585	-0.179	2.09475	-3.90525	3.821	NA
Hs.48291	2	232447316	-0.047	0.521	2.21325	-3.78675	4.521	-0.047
Hs.124112	2	234434028	0.678	-0.073	2.16425	-3.83575	3.927	0.678
Hs.111554	2	235185688.5	0.012	0.03	2.22025	-3.77975	4.03	NA
Hs.222874	2	239882766	0.257	0.111	1.98825	-4.01175	4.111	0.257
Hs.328232	2	241111294.5	0.048	-0.215	2.05025	-3.94975	3.785	NA
Hs.427152	2	241931679	0.165	0.016	1.83125	-4.16875	4.016	0.165
Hs.529171	2	242340414.5	-0.299	-0.038	2.25925	-3.74075	3.962	NA
Hs.68876	3	3106725.5	-0.036	-0.015	2.26025	-3.73975	3.985	NA
Hs.380271	3	9769895.5	-0.058	0.066	1.61725	-4.38275	4.066	-0.058
Hs.323342	3	9819066	0.089	0.276	2.04925	-3.95075	4.276	NA
Hs.421654	3	10137869	0.245	-0.307	2.24325	-3.75675	3.693	NA
Hs.421597	3	10163540	0.058	0.484	1.96225	-4.03775	4.484	0.058
Hs.449207	3	10260218	-0.306	0.098	1.85925	-4.14075	4.098	NA
Hs.257266	3	12640360	-0.073	0	1.79925	-4.20075	4	-0.073
Hs.130330	3	14153771.5	0.11	0.386	1.76825	-4.23175	4.386	0.11
Hs.436432	3	16431290.5	0.161	0.23	1.32725	-4.67275	4.23	0.161
Hs.203475	3	20113713.5	-0.225666666666667	-0.027	2.13625	-3.86375	3.973	NA
Hs.444289	3	23362771.5	0.328	0.556	2.06525	-3.93475	4.556	0.328
Hs.436538	3	25529632	-0.312	-0.227	2.25425	-3.74575	3.773	NA
Hs.82028	3	30675072	-0.44	-0.079	2.31225	-3.68775	3.921	-0.44
Hs.440494	3	32469414.5	-0.408	-0.11	2.23425	-3.76575	3.89	-0.408
Hs.9663	3	33869434.5	-0.281	-0.0805	2.36675	-3.63325	3.9195	-0.281
Hs.433618	3	37038803	0.063	-0.283	1.83725	-4.16275	3.717	0.063
Hs.8042	3	37850288.5	-0.0825	-0.075	1.98725	-4.01275	3.925	-0.0825
Hs.147189	3	37939545.5	-0.52	0.059	1.84025	-4.15975	4.059	-0.52
Hs.12942	3	42581495	0.385	0.221	2.10425	-3.89575	4.221	0.385
Hs.447793	3	42890662	-0.034	0.294	1.97925	-4.02075	4.294	-0.034
Hs.225946	3	45911346.5	0.68	0.767	1.87725	-4.12275	4.767	0.68
Hs.380055	3	46557367	0.051	0.101	2.03725	-3.96275	4.101	0.051
Hs.385870	3	46596586.5	0.07	0.237	2.13725	-3.86275	4.237	NA
Hs.1019	3	46910422	0.025	0.01	1.79425	-4.20575	4.01	NA
Hs.1634	3	48189238	-0.165	-0.08	2.00925	-3.99075	3.92	NA
Hs.278311	3	48433071	-0.01	0.282	1.73425	-4.26575	4.282	-0.01
Hs.506231	3	49027747.5	0.203	0.097	1.70625	-4.29375	4.097	NA
Hs.75432	3	49040987.5	0.337	0.574	1.50925	-4.49075	4.574	NA
